"iso3","count_respondents","scope","gender","quintile","indicator","value"
"BRA",1439,"country","all","total","we_bottled",1138.26676328319
"BRA",1439,"country","all","total","we_trucked",0
"BRA",1439,"country","all","total","satisfied_service",68.094862579746
"BRA",1439,"country","all","total","unsatisfied_service",31.905137420254
"BRA",1439,"country","all","total","improved_san",95.02380881969
"BRA",1439,"country","all","total","no_san_access",0.49210716358507
"BRA",1439,"country","all","total","open_def",0.374258178196046
"BRA",1439,"country","all","total","sewage_treated",14.6611593321989
"BRA",1439,"country","all","total","sewage_contaminates",2.11226743840328
"CHL",1456,"country","all","total","twe_usd_pc",11.2366158485638
"CHL",1456,"country","all","total","twe_usd",33.9440324123437
"CHL",1456,"country","all","total","access_water_piped_home",72.1215675404572
"CHL",1456,"country","all","total","access_water_piped_plot",0.507310995419784
"CHL",1456,"country","all","total","water_on_premises",3.20154169829856
"CHL",1456,"country","all","total","water_distr",94.7139631831577
"CHL",1456,"country","all","total","consume_distr",72.628878535877
"CHL",1456,"country","all","total","consume_other",0.557633808700668
"CHL",1456,"country","all","total","consume_bottled",22.6046780402378
"CHL",1456,"country","all","total","consume_delivered",0.578839355144117
"CHL",1456,"country","all","total","consume_impspring",0.851343439172313
"CHL",1456,"country","all","total","consume_impwell",2.37569833159185
"CHL",1456,"country","all","total","consume_publictap",0.155517097550594
"CHL",1456,"country","all","total","consume_rain",0
"CHL",1456,"country","all","total","consume_unimproved",0.247411391725693
"CHL",1456,"country","all","total","ou_bottled",0
"CHL",1456,"country","all","total","ou_delivered",1.07912444112626
"CHL",1456,"country","all","total","ou_distr",93.9412225701623
"CHL",1456,"country","all","total","ou_impspring",0.624679572556
"CHL",1456,"country","all","total","ou_impwell",2.71624720669801
"CHL",1456,"country","all","total","ou_other",0.94859854132293
"CHL",1456,"country","all","total","ou_publictap",0.0989886638968212
"CHL",1456,"country","all","total","ou_rain",0.0939838653377432
"CHL",1456,"country","all","total","ou_unimproved",0.497155138899966
"CHL",1456,"country","all","total","san_ecolatrine",0.123011139683081
"CHL",1456,"country","all","total","san_exclusive",96.827401954431
"CHL",1456,"country","all","total","san_implatrine",1.70416651838739
"CHL",1456,"country","all","total","san_other",0.791644644143084
"CHL",1456,"country","all","total","san_septic",9.04539376223802
"CHL",1456,"country","all","total","san_sewer",87.857151997136
"CHL",1456,"country","all","total","san_unimp",0.236666503748994
"CHL",1456,"country","all","total","improved_w_access",99.1949547995736
"CHL",1456,"country","all","total","water_daily",92.7736851040881
"CHL",1456,"country","all","total","w_dist_treatment",20.7061747530849
"CHL",1456,"country","all","total","w_treatment",29.5412361595043
"CHL",1456,"country","all","total","reason_w_treatment_taste",2.9024291657978
"CHL",1456,"country","all","total","reason_w_treatment_color",0.35967789877676
"CHL",1456,"country","all","total","reason_w_treatment_quality",14.5660697797617
"CHL",1456,"country","all","total","reason_w_treatment_continuity",0.84376276169273
"CHL",1456,"country","all","total","we_piped_water",3093.69560153907
"CHL",1456,"country","all","total","we_bottled",1674.63343798588
"CHL",1456,"country","all","total","we_trucked",1143.49913404606
"CHL",1456,"country","all","total","satisfied_service",72.7393872154744
"CHL",1456,"country","all","total","unsatisfied_service",27.2606127845256
"CHL",1456,"country","all","total","improved_san",98.7297234174445
"CHL",1456,"country","all","total","no_san_access",0.24196543466346
"CHL",1456,"country","all","total","open_def",0.0516343113108734
"CHL",1456,"country","all","total","sewage_treated",25.5107979883755
"CHL",1456,"country","all","total","sewage_contaminates",7.24537247318366
"COL",1507,"country","all","total","twe_usd_pc",4.81184468900022
"COL",1507,"country","all","total","twe_usd",16.8498457993234
"COL",1507,"country","all","total","access_water_piped_home",78.9077940784608
"COL",1507,"country","all","total","access_water_piped_plot",0.128807354353893
"COL",1507,"country","all","total","water_on_premises",8.92080862436157
"COL",1507,"country","all","total","water_distr",86.6500767609148
"COL",1507,"country","all","total","consume_distr",79.0366014328147
"COL",1507,"country","all","total","consume_other",3.5021928480766
"COL",1507,"country","all","total","consume_bottled",5.4722129761042
"COL",1507,"country","all","total","consume_delivered",0.874684071136263
"COL",1507,"country","all","total","consume_impspring",0.204045793697078
"COL",1507,"country","all","total","consume_impwell",2.64806740718634
"COL",1507,"country","all","total","consume_publictap",0.490045494359517
"COL",1507,"country","all","total","consume_rain",1.4152738058242
"COL",1507,"country","all","total","consume_unimproved",6.35687617080109
"COL",1507,"country","all","total","ou_bottled",0.361119853398105
"COL",1507,"country","all","total","ou_delivered",0.0891103538656883
"COL",1507,"country","all","total","ou_distr",81.4540296851366
"COL",1507,"country","all","total","ou_impspring",0.139404914207628
"COL",1507,"country","all","total","ou_impwell",3.36017149555519
"COL",1507,"country","all","total","ou_other",3.25676779508881
"COL",1507,"country","all","total","ou_publictap",3.71778472162923
"COL",1507,"country","all","total","ou_rain",1.54450352717213
"COL",1507,"country","all","total","ou_unimproved",6.07710765394657
"COL",1507,"country","all","total","san_ecolatrine",1.0285143764683
"COL",1507,"country","all","total","san_exclusive",91.0170655885945
"COL",1507,"country","all","total","san_implatrine",4.73423040064597
"COL",1507,"country","all","total","san_other",3.03867869945159
"COL",1507,"country","all","total","san_septic",13.1521242353291
"COL",1507,"country","all","total","san_sewer",74.5990935680506
"COL",1507,"country","all","total","san_unimp",1.02373123361476
"COL",1507,"country","all","total","improved_w_access",90.1409309811223
